13;Anubias barteri sp.;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterisp.%28101YWX%29%2F4549;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%20YWX%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
14;Anubias barteri var. barteri;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.barteri%28101A%29%2F4551;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101A%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;20;30;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
15;Anubias barteri var. caladiifolia;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.caladiifolia%28101UXL%29%2F4557;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101U%20XL%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Cultivar;lento;10;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
16;Anubias barteri var. caladiifolia;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.caladiifolia%28101U%29%2F4556;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101U%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Cultivar;lento;10;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
17;Anubias barteri var. 'Coffeifolia';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.%27Coffeifolia%27%28101G%29%2F4553;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101G%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Cultivar;lento;15;30;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
18;Anubias barteri var. glabra;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.glabra%28101C%29%2F4552;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101C%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;10;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
19;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28101PCS%29%2F18806;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%20PCS%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
20;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28101YLS%29%2F4546;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%20YLS%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
21;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28101YWS%29%2F4548;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%20YWS%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
22;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28101ZWS%29%2F4550;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%20ZWS%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
23;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28101%29%2F4545;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
24;Anubias barteri var. nana;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%28510YCS%29%2F28184;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F510%20YCS%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
25;Anubias barteri var. nana  Kirin ;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%E2%80%99Kirin%E2%80%99%28101K%29%2F29448;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101K%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Cultivar;lento;3;5;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
26;Anubias barteri var. nana  Pinto ;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%E2%80%99Pinto%E2%80%99%28101E%29%2F29446;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101E%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Cultivar;lento;5;5;media;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
27;Anubias barteri var. nana 'Large';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasbarterivar.nana%27Large%27%28101L%29%2F19785;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101L%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;5;15;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
28;Anubias gracilis;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAnubiasgracilis%28101D%29%2F17819;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F101D%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;10;20;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
29;Aponogeton boivinianus;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAponogetonboivinianus%28088KN%29%2F4534;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F088%20KN%2F2.png%26crop%3Dresize%26class%3Dproduct;Bulb/onion;Africa;veloce;20;30;media;poca;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
30;Aponogeton longiplumulosus;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FAponogetonlongiplumulosus%28089DKN%29%2F4536;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F089D%20KN%2F2.png%26crop%3Dresize%26class%3Dproduct;Bulb/onion;Africa;medio;20;30;poca;poca;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
